Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
32.19,1176900.0,1113074.0,268336.0,425698.0,-18626.0,700226.0,-2324.0,-8388608.0
32.192,1176900.0,1113074.0,268336.0,425698.0,-18626.0,700226.0,-2324.0,-8388608.0
32.194,1302950.0,1279662.0,86131.0,345721.0,-18684.0,721762.0,144106.0,-8388608.0
32.196,1302950.0,1279662.0,86131.0,345721.0,-18684.0,721762.0,144106.0,-8388608.0
32.198,1291215.0,1228713.0,132549.0,418894.0,-18501.0,701951.0,75403.0,-8388608.0
32.2,1291215.0,1228713.0,132549.0,418894.0,-18501.0,701951.0,75403.0,-8388608.0
32.202,1253760.0,1128663.0,338743.0,530705.0,-19111.0,660749.0,-12037.0,-8388608.0
32.214,1223291.0,1126390.0,378065.0,511243.0,-15951.0,654254.0,4693.0,-8388608.0
32.216,1223291.0,1126390.0,378065.0,511243.0,-15951.0,654254.0,4693.0,-8388608.0
32.218,1244705.0,1115296.0,391193.0,501143.0,-19442.0,679940.0,-13082.0,-8388608.0
32.25,1124709.0,1083409.0,276328.0,406704.0,-18488.0,686871.0,-10751.0,-8388608.0
32.252,1124709.0,1083409.0,276328.0,406704.0,-18488.0,686871.0,-10751.0,-8388608.0
32.254,1169346.0,1098082.0,275154.0,423652.0,-17941.0,680031.0,-9537.0,-8388608.0
32.256,1169346.0,1098082.0,275154.0,423652.0,-17941.0,680031.0,-9537.0,-8388608.0
32.258,1183839.0,1121033.0,237259.0,437262.0,-18833.0,701707.0,-7669.0,-8388608.0
32.26,1183839.0,1121033.0,237259.0,437262.0,-18833.0,701707.0,-7669.0,-8388608.0
32.262,1180951.0,1128751.0,248834.0,428187.0,-17837.0,717729.0,78.0,-8388608.0
32.264,1180951.0,1128751.0,248834.0,428187.0,-17837.0,717729.0,78.0,-8388608.0
32.266,1153193.0,1111936.0,279168.0,448594.0,-18574.0,697503.0,-7823.0,-8388608.0
32.268,1153193.0,1111936.0,279168.0,448594.0,-18574.0,697503.0,-7823.0,-8388608.0
