Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Label
89.313,-607.0501098632812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.317,123.06632232666016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.328,415.84735107421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.329,-698.3602905273438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.333,-37.50741958618164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.337,1025.839599609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.341,852.5986328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.352,-281.3768615722656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.353,862.7791137695312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.357,996.6869506835938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.361,84.60462951660156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.365,-69.17000579833984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.376,1004.7883911132812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.377,-254.23410034179688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.381,-565.2684936523438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.385,659.2977905273438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.389,1113.85595703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.4,-571.08349609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.401,312.5334167480469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.405,1100.79833984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.409,541.5428466796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.413,-408.5606689453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.424,1112.188232421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.425,798.19091796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.429,-321.7012023925781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.433,-169.4059600830078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.437,894.3218994140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.447,-650.6634521484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.449,-344.6513977050781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.453,848.0037231445312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.457,990.5631713867188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.467,-372.9379577636719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.469,743.3790893554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.473,1062.3134765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.477,69.97645568847656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.481,-336.5761413574219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.491,989.4741821289062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.493,-163.72325134277344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.497,-693.3135375976562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.501,363.19439697265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.505,1096.6319580078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.516,-602.9111938476562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.517,157.11190795898438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.521,1072.65966796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.525,761.4708862304688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.529,-409.7569580078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.54,1000.3365478515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.541,990.3735961914062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.545,59.19874572753906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.549,83.69566345214844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.553,966.7808837890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.563,-136.65081787109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.565,-600.2003784179688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.569,342.0359191894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.573,831.6166381835938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.577,-351.0809326171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.587,387.61083984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.589,956.5557250976562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.593,-148.47459411621094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.597,-612.4979858398438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.601,421.6367492675781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.611,356.7964172363281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.613,-744.2933959960938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.617,4.248023509979248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.621,1040.1536865234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.625,662.271484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.635,-161.16502380371094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.637,920.5318603515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.641,743.06494140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.645,-447.6684875488281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.649,-308.7676086425781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.659,998.5680541992188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.661,49.84677505493164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.665,-190.34030151367188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.669,830.1878662109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.673,1091.7747802734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.683,-653.9512329101562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.685,345.62591552734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.689,1065.760986328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.693,260.83709716796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.703,250.25489807128906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.705,1046.613037109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
